,Susu,Pular,Maninka,Jahnka,Baga,Nalu,Mixifore,Landoma,Badyara,Bassari,Wamey,Yalunka,Soninke,Kuranko,Kissi,Lele,Toma,Konyanka Maninka,Kpelle,Mano,Kono
Boke,0.3276,0.4525,0.0188,0.058,0.0221,0.0046,0.0213,0.0375,0.0081,0.0058,0.0082,0.0023,0.0048,0,0.0017,0,0.0013,0,0.0017,0,0
Conakry,0.37,0.335,0.19,0.013,0.005,0,0.002,0.003,0,0,0.004,0.005,0.001,0.002,0.017,0.001,0.007,0.016,0.013,0.002,0.003
Faranah,0.0033,0.2809,0.3611,0,0,0,0,0,0,0,0,0.0648,0,0.1232,0.1307,0.0214,0.0018,0.0012,0.0021,0,0
Kankan,0.0024,0.0389,0.8711,0,0,0,0,0,0,0,0,0.0018,0,0.0382,0.0053,0.0003,0.0012,0.0278,0.0025,0,0.0003
Kindia,0.5517,0.3485,0.0518,0.0054,0.0013,0,0,0.0008,0,0,0.0008,0.0019,0.0014,0,0.0093,0.0011,0.0031,0.0023,0.0074,0.0011,0.0015
Labe,0.0016,0.9454,0.0073,0.0173,0,0,0,0,0,0,0,0.0126,0.0064,0,0,0,0,0,0.0013,0,0
Mamou,0.0178,0.9251,0.0418,0.0017,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0
Nzerekore,0.0015,0.0348,0.0942,0,0,0,0,0,0,0.0006,0.003,0,0,0.0025,0.1503,0.0079,0.0762,0.2903,0.2322,0.0394,0.0485
