,Bainouk,Badyara,Balanta,Bambara,Oniyan,Menik,Wamey,Jahanka,Jalunga,Jola,Fulah,Xasonga,Wolof,Maninkakan,Mankanya,Mandinka,Mandjak,Arabic,Pular,Soninke,Serer,Susu,English,French
Dakar,0.001,0,0.002,0.008,0,0,0,0.001,0,0.033,0,0,0.664,0,0.003,0.018,0.013,0.003,0.147,0.009,0.066,0.002,0.001,0.021
Ziguinchor,0.012,0,0.019,0.004,0,0,0,0.003,0,0.546,0.002,0,0.101,0.001,0.019,0.138,0.028,0,0.094,0.003,0.011,0.001,0,0.005
Diourbel,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0.787,0,0,0.001,0,0.001,0.042,0,0.164,0,0,0.001
Saint Louis_Louga_Matam,0,0,0,0.002,0,0,0,0,0,0.002,0,0,0.421,0,0,0.001,0,0.015,0.534,0.012,0.01,0,0,0.002
Tambacounda_Kedougou,0,0,0,0.037,0.012,0.003,0.001,0.051,0.012,0.005,0.002,0,0.096,0.056,0.001,0.088,0,0.002,0.519,0.077,0.032,0.001,0,0.001
Kaolack_Fatick_Kaffrine,0,0,0,0.02,0,0,0,0,0,0.003,0,0,0.554,0,0,0.018,0,0.001,0.138,0.002,0.257,0,0,0.001
Thies,0,0,0.001,0.007,0,0,0,0,0,0.009,0,0,0.645,0,0.002,0.007,0.002,0.002,0.085,0.001,0.231,0,0,0.004
Kolda_Sedhiou,0.002,0.006,0.049,0.006,0.001,0,0.002,0.006,0,0.035,0.004,0,0.069,0.001,0.005,0.207,0.026,0,0.553,0.016,0.008,0,0,0.001
