,Krio,Mende,Themne,Maninkakan,Limba,Kissi,Kono,Susu,Pular,Bom,Yalunka,Kuranko,Vai,English,French,Arabic
East,0.6047,0.5894,0.067,0.027,0.0275,0.1023,0.1738,0.0066,0.0292,0.0026,0.0027,0.0241,0.0008,0.014,0,0.0017
North,0.4928,0.0437,0.6436,0.0252,0.1376,0.0004,0.0025,0.0669,0.0302,0.003,0.0172,0.094,0,0.0151,0,0.0004
South,0.5039,0.8285,0.1014,0.0139,0.009,0.0011,0.0013,0.0048,0.0158,0.0581,0,0.0008,0.008,0.0131,0,0.0009
West,0.9306,0.1442,0.3577,0.0184,0.0829,0.0052,0.0155,0.0215,0.0508,0.0107,0.0036,0.0093,0,0.1377,0.0018,0.0025
