,Bambara,Fulfulde,Songhay,Soninke,Xaasongaxango,Senoufo,Dogon,Hassaniyya,Tamashek,Marka,Haoussa,Bankagooma,Bozo
Kayes,0.416,0.111,0.001,0.258,0.068,0,0.001,0.019,0.001,0.001,0,0,0.001
Koulikoro,0.719,0.057,0.005,0.064,0.001,0.002,0.007,0.017,0.002,0.006,0,0.001,0.002
Sikasso,0.56,0.021,0.002,0.002,0,0.236,0.008,0,0.002,0.021,0,0.017,0.002
Segou,0.662,0.039,0.006,0.006,0,0.048,0.014,0.003,0.007,0.078,0,0.001,0.009
Mopti,0.1,0.232,0.041,0.005,0.001,0.001,0.368,0.004,0.018,0.018,0,0.002,0.083
Tombouctou,0.04,0.1,0.409,0.003,0,0,0,0.073,0.249,0,0,0,0.009
Gao,0.028,0.018,0.493,0,0,0,0,0.044,0.24,0,0.004,0,0.004
Kidal,0.037,0,0.026,0,0,0,0,0.038,0.766,0,0,0,0
Bamako,0.804,0.014,0.015,0.028,0.003,0.003,0.013,0,0.002,0.008,0,0,0.001
