Country,Region,Lfrac_raw
Guinea,Boke,30.69
Guinea,Conakry,32.21
Guinea,Faranah,33.3
Guinea,Kankan,8.33
Guinea,Kindia,26.41
Guinea,Labe,4.43
Guinea,Mamou,5.79
Guinea,Nzerekore,34.77
