Country,Region,Lfrac_raw
Senegal,Dakar,24.99
Senegal,Ziguinchor,31.21
Senegal,Diourbel,16.85
Senegal,Saint Louis_Louga_Matam,25.58
Senegal,Tambacounda_Kedougou,32.67
Senegal,Kaolack_Fatick_Kaffrine,28.72
Senegal,Thies,24.93
Senegal,Kolda_Sedhiou,30.8
