Country,Region,Lfrac_raw
Burkina Faso,boucle_de_mouhoun,29.14
Burkina Faso,cascades,20.1
Burkina Faso,centre_including_ouagadougou,14.0
Burkina Faso,centre_est,21.54
Burkina Faso,centre_nord,9.18
Burkina Faso,centre_ouest,23.97
Burkina Faso,centre_sud,18.68
Burkina Faso,est,21.11
Burkina Faso,hauts_basins,30.64
Burkina Faso,nord,6.32
Burkina Faso,plateau_central,5.43
Burkina Faso,sahel,24.12
Burkina Faso,sud_ouest,20.89
